Type, Quantum, Average Response Time, Context Switch Time, Queue Usage
rr, 17000, 4.62102369, 0.00065651, 0
fcfs, 0, 2.85609231, 0.00000761, 0
sjf, 0, 2.85612878, 0.00000733, 0
mlfq, 84000, 2.98312120, 0.00002025, 1.000
rr, 17000, 4.65028631, 0.00065777, 0
fcfs, 0, 2.85590681, 0.00000657, 0
sjf, 0, 2.85631348, 0.00002235, 0
mlfq, 84000, 2.98172242, 0.00002088, 1.000
rr, 17000, 4.65189357, 0.00062076, 0
fcfs, 0, 2.85521405, 0.00000810, 0
sjf, 0, 2.85571364, 0.00000712, 0
mlfq, 84000, 2.98373458, 0.00001858, 1.000
rr, 17000, 4.62129619, 0.00063346, 0
fcfs, 0, 2.85569378, 0.00000719, 0
sjf, 0, 2.85562856, 0.00000810, 0
mlfq, 84000, 2.98246336, 0.00001970, 1.000
rr, 17000, 4.65150459, 0.00063605, 0
fcfs, 0, 2.85581291, 0.00000761, 0
sjf, 0, 2.85750011, 0.00000761, 0
mlfq, 84000, 2.98294525, 0.00001955, 1.000
rr, 17000, 4.65026833, 0.00060182, 0
fcfs, 0, 2.85594712, 0.00000712, 0
sjf, 0, 2.85605894, 0.00000754, 0
mlfq, 84000, 2.98326125, 0.00002144, 1.000
rr, 17000, 4.65110842, 0.00063044, 0
fcfs, 0, 2.85728567, 0.00000719, 0
sjf, 0, 2.85602994, 0.00000803, 0
mlfq, 84000, 2.98233637, 0.00001823, 1.000
rr, 17000, 4.65097303, 0.00066922, 0
fcfs, 0, 2.85636130, 0.00000817, 0
sjf, 0, 2.85545982, 0.00000852, 0
mlfq, 84000, 2.98308469, 0.00001865, 1.000
rr, 17000, 4.63211555, 0.00059951, 0
fcfs, 0, 2.85149099, 0.00000719, 0
sjf, 0, 2.85203083, 0.00000761, 0
mlfq, 84000, 2.97958574, 0.00002179, 1.000
rr, 17000, 4.62370387, 0.00060035, 0
fcfs, 0, 2.85906737, 0.00000761, 0
sjf, 0, 2.85224795, 0.00000754, 0
mlfq, 84000, 2.97590642, 0.00001962, 1.000
rr, 17000, 4.65050118, 0.00071623, 0
fcfs, 0, 2.85751035, 0.00000845, 0
sjf, 0, 2.85573385, 0.00000810, 0
mlfq, 84000, 2.98393965, 0.00001900, 1.000
rr, 17000, 4.65072375, 0.00059351, 0
fcfs, 0, 2.85595526, 0.00000754, 0
sjf, 0, 2.85681155, 0.00000768, 0
mlfq, 84000, 2.98250657, 0.00001809, 1.000
rr, 17000, 4.65074861, 0.00060713, 0
fcfs, 0, 2.85663562, 0.00000859, 0
sjf, 0, 2.85544842, 0.00000803, 0
mlfq, 84000, 2.98300835, 0.00002054, 1.000
rr, 17000, 4.62102100, 0.00063877, 0
fcfs, 0, 2.85943028, 0.00000761, 0
sjf, 0, 2.85740756, 0.00000761, 0
mlfq, 84000, 2.98304847, 0.00001935, 1.000
rr, 17000, 4.65214654, 0.00069172, 0
fcfs, 0, 2.85642555, 0.00000726, 0
sjf, 0, 2.85583012, 0.00001076, 0
mlfq, 84000, 2.98281346, 0.00002088, 1.000
rr, 17000, 4.65171081, 0.00062522, 0
fcfs, 0, 2.85599535, 0.00000671, 0
sjf, 0, 2.85625505, 0.00000859, 0
mlfq, 84000, 2.98197019, 0.00001970, 1.000
rr, 17000, 4.65184089, 0.00066160, 0
fcfs, 0, 2.85657936, 0.00000845, 0
sjf, 0, 2.85640603, 0.00000845, 0
mlfq, 84000, 2.98185148, 0.00002095, 1.000
rr, 17000, 4.65082095, 0.00058695, 0
fcfs, 0, 2.85660782, 0.00000803, 0
sjf, 0, 2.85451025, 0.00000692, 0
mlfq, 84000, 2.98292244, 0.00002123, 1.000
rr, 17000, 4.65114822, 0.00069094, 0
fcfs, 0, 2.85642451, 0.00000817, 0
sjf, 0, 2.85608740, 0.00000859, 0
mlfq, 84000, 2.98206396, 0.00002186, 1.000
rr, 17000, 4.65659488, 0.00065168, 0
fcfs, 0, 2.86012227, 0.00000768, 0
sjf, 0, 2.85557353, 0.00000754, 0
mlfq, 84000, 2.98431265, 0.00001906, 1.000
rr, 17000, 4.65049832, 0.00060447, 0
fcfs, 0, 2.85615295, 0.00000657, 0
sjf, 0, 2.85634297, 0.00000859, 0
mlfq, 84000, 2.98380349, 0.00001990, 1.000
rr, 17000, 4.65541671, 0.00068584, 0
fcfs, 0, 2.86004768, 0.00000817, 0
sjf, 0, 2.85639222, 0.00000768, 0
mlfq, 84000, 2.98226679, 0.00001893, 1.000
rr, 17000, 4.65066773, 0.00060517, 0
fcfs, 0, 2.85666254, 0.00005497, 0
sjf, 0, 2.85640722, 0.00000761, 0
mlfq, 84000, 2.98192907, 0.00002054, 1.000
rr, 17000, 4.65114131, 0.00062878, 0
